日益骄固	ryjg
手之舞之	szwz
滕文公下	twgx
魏武挥鞭	wwhb
无食我黍	wsws
燕婉之求	ywzq
用舍由时	ysys
余独不觉	ydbj
必有所成	bysc
不分好歹	bfhd
怪腔怪调	gqgt
海天一线	htyx
毫无声息	hwsx
明白晓畅	mbxc
男女之别	nnzb
起承转结	qczj
恰逢其会	qfqh
惟利是图	wlst
惟命是从	wmsc
洗净铅华	xjqh
诸侯并起	zhbq
彼稷之苗	bjzm
不分贫富	bfpf
不可得而	bkde
不可卷也	bkjy
苍山如海	csrh
重重似画	ccsh
当是时也	dssy
道心惟微	dxww
德音不忘	dybw
而民自正	emzz
而民自化	emzh
泛彼柏舟	fbbz
分裂山河	flsh
复归于朴	fgyp
躬自悼矣	gzdy
衡门之下	hmzx
及尔偕老	jexl
艰苦斗争	jkdz
老使我怨	lswy
鹭点烟汀	ldyt
名亦既有	myjy
莫我肯顾	mwkg
曲曲如屏	qqrp
人能弘道	rnhd
圣人不死	srbs
三五七言	swqy
深不可识	sbks
使民不争	smbz
是谓玄德	swxd
始制有名	szym
双桨鸿惊	sjhj
死则同穴	sztx
滕文公上	twgs
天下已定	txyd
同于德者	tydz
往而不害	webh
为而弗恃	wefs
维士与女	wsyn
揾英雄泪	wyxl
我心匪席	wxfx
寤寐无为	wmww
小知间间	xzjj
仰天而叹	ytet
亦既觏止	yjgz
由是观之	ysgz
影湛波平	yzbp
有国之母	ygzm
鱼翻藻鉴	yfzj
予美亡此	ymwc
玉水明沙	ysms
陟彼南山	zbns
执古之道	zgzd
至于暴矣	zyby
子无良媒	zwlm
子夜吴歌	zywg
暴病身亡	bbsw
北部海岸	bbha
不通世故	btsg
大事不成	dsbc
鼓盆而歌	gpeg
虎豹豺狼	hbcl
辉煌光环	hhgh
君无戏言	jwxy
难以驯服	nyxf
蓬莱弱水	plrs
神色不变	ssbb
五陵少年	wlsn
相忘江湖	xwjh
自损三千	zssq
不可为也	bkwy
长而不宰	cebz
出自东方	czdf
大盗不止	ddbz
风乎舞雩	fhwy
公孙丑下	gscx
化而欲作	heyz
几行陈迹	jhcj
既见复关	jjfg
几声抽泣	jscq
皎皎白驹	jjbj
可怜焦土	kljt
旅夜书怀	lysh
民之难治	mznz
没身不殆	msbd
女也不爽	nybs
佩玉琼琚	pyqj
淇则有岸	qzya
三岁贯女	ssgn
桑之落矣	szly
俗人昭昭	srzz
神人无功	srwg
酾酒临江	sjlj
是谓玄牝	swxp
是以有德	syyd
未可知也	wkzy
威振四海	wzsh
小小寰球	xxhq
洵美且都	xmqd
夜归临皋	yglg
有不信焉	ybxy
以尔车来	yecl
以我贿迁	ywhq
云溪友议	yxyy
以乡观乡	yxgx
则游者众	zyzz
则至者少	zzzs
斩木为兵	zmwb
子见南子	zjnz
大宛列传	dwlz
交易频道	jypd
久立伤骨	jlsg
乱邦不居	lbbj
貌比潘安	mbpa
你争我斗	nzwd
七拐八弯	qgbw
清新隽永	qxjy
趋之如骛	qzrw
三口两口	sklk
舌战群雄	szqx
忐忐忑忑	tttt
心灵震爆	xlzb
会唱会跳	hcht
一推就倒	ytjd
白茅包之	bmbz
百万之师	bwzs
保此道者	bcdz
比于赤子	bycz
不见而明	bjem
不可得也	bkdy
不在颛臾	bzzy
采薇采薇	cwcw
春光融融	cgrr
笃于时也	dysy
定之方中	dzfz
迩之事父	ezsf
废嫡立庶	fdls
风雨潇潇	fyxx
故能长生	gncs
含德之厚	hdzh
和之至也	hzzy
寂寂无声	jjws
加彘肩上	jzjs
渐车帷裳	jcws
聚之咸阳	jzxy
将欲废之	jyfz
荆棘生焉	jjsy
孔德之容	kdzr
邻国相望	lgxw
靡室劳矣	msly
靡有朝矣	mycy
民之从事	mzcs
明月直入	myzr
佩玉将将	pyjj
其故何也	qghy
其黄而陨	qhey
淇水汤汤	qsss
泣涕涟涟	qtll
如在昨日	rzzr
三岁食贫	sssp
三岁为妇	sswf
圣人无名	srwm
是以无德	sywd
唐虞之际	tyzj
天下之水	txzs
同于失者	tysz
王事靡盬	wsmg
为君之道	wjzd
为天下谷	wtxg
我思古人	wsgr
无心可猜	wxkc
无以异也	wyyy
隰则有泮	xzyp
象帝之先	xdzx
信不足焉	xbzy
言秣其马	ymqm
颜色不变	ysbb
言刈其楚	yyqc
言刈其蒌	yyql
杨花似雪	yhsx
已而遂晴	yesq
以奇用兵	yqyb
宜言饮酒	yyyj
有女同行	ynth
雨晴烟晚	yqyw
远之事君	yzsj
载渴载饥	zkzj
直而不肆	zebs
治人事天	zrst
终身不勤	zsbq
终鲜兄弟	zxxd
忠信之薄	zxzb
自以为得	zywd
本地防务	bdfw
尘泥沼泽	cnzz
澄清天下	cqtx
风流往事	flws
久坐伤肉	jzsr
碌碌之辈	llzb
内外之分	nwzf
破碎残阳	pscy
抢劫一空	qjyk
清明在躬	qmzg
时移势易	sysy
五行八作	whbz
遇强不弱	yqbr
英才盖世	ycgs
危邦不入	wbbr
则不复也	zbfy
父子相认	fzxr
脾气相投	pqxt
百姓皆谓	bxjw
不可长保	bkcb
不知西东	bzxd
辞让之心	crzx
答李淑一	dlsy
道之出口	dzck
尔卜尔筮	ebes
而民弥贫	emmp
而民自富	emzf
而民自朴	emzp
而有天下	eytx
放乎四海	fhsh
方死方生	fsfs
匪来贸丝	flms
耿耿不寐	ggbm
贺兰进明	hljm
